Brand,Year,Model,Title,UsedOrNew,Transmission,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,CylindersinEngine,BodyType,Doors,Seats,State,Cylinders,Capacity
Mazda,2022,CX-5,2022 Mazda CX-5 Touring (awd),DEMO,Automatic,AWD,Unleaded,7.5,996.0,White / Black Maztex/Cloth,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.5
Mazda,2016,CX-9,2016 Mazda CX-9 GT (fwd),USED,Automatic,Front,Unleaded,8.4,168034.0,White / -,4 cyl,SUV,4 Doors, 7 Seats,QLD,4.0,2.5
Toyota,2020,Hilux,2020 Toyota Hilux SR HI-Rider,USED,Automatic,Rear,Diesel,7.5,33243.0,White / Black,4 cyl,Ute / Tray,4 Doors, 5 Seats,VIC,4.0,2.8
Volkswagen,2019,Caddy,2019 Volkswagen Caddy SWB TSI220,USED,Automatic,Front,Premium,6.0,97327.0,White / Black,4 cyl,Commercial,3 Doors, 2 Seats,NSW,4.0,1.4
Toyota,2011,HiAce,2011 Toyota HiAce Slwb,USED,Automatic,Rear,Unleaded,12.6,329000.0,- / -,4 cyl,Commercial,4 Doors, 3 Seats,VIC,4.0,2.7
Skoda,2018,Superb,2018 Skoda Superb 162 TSI,USED,Automatic,Front,Premium,6.4,150994.0,White / Grey,4 cyl,Wagon,4 Doors, 5 Seats,NSW,4.0,2.0
Jeep,2022,Grand,2022 Jeep Grand Cherokee Summit Reserve (4X4),USED,Automatic,4WD,Premium,10.6,8504.0,Silver / -,6 cyl,SUV,4 Doors, 7 Seats,QLD,6.0,3.6
Toyota,2018,Landcruiser,2018 Toyota Landcruiser Prado Kakadu (4X4),USED,Automatic,4WD,Diesel,8.0,108660.0,Silver / Black,4 cyl,SUV,4 Doors, 7 Seats,NSW,4.0,2.8
Hyundai,2014,Veloster,2014 Hyundai Veloster SR Turbo,USED,Manual,Front,Unleaded,6.4,137640.0,Black / -,4 cyl,Hatchback,3 Doors, 4 Seats,NSW,4.0,1.6
Mitsubishi,2015,Triton,2015 Mitsubishi Triton GLX (4X4),USED,Manual,4WD,Diesel,8.1,130847.0,White / Grey,4 cyl,Ute / Tray,4 Doors, 5 Seats,NSW,4.0,2.5
Holden,2017,Astra,2017 Holden Astra R,USED,Automatic,Front,Premium,5.8,80973.0,Grey / Black,4 cyl,Hatchback,5 Doors, 5 Seats, WA,4.0,1.4
Kia,2017,Carnival,2017 Kia Carnival Platinum,USED,Automatic,Front,Unleaded,11.6,55840.0,Black / Cream Leather,6 cyl,Wagon,4 Doors, 8 Seats,VIC,6.0,3.3
Suzuki,2011,Swift,2011 Suzuki Swift GA,USED,Manual,Front,Unleaded,5.5,138540.0,Red / -,4 cyl,Hatchback,5 Doors, 5 Seats,QLD,4.0,1.4
Volkswagen,2013,Amarok,2013 Volkswagen Amarok 2H TDI420 Highline Utility Dual Cab 4dr Auto 8sp 4Motion (4X,USED,Automatic,Other,Diesel,7.6,231521.0,Grey / -,-,Ute / Tray,missing_dr,missing_seats,NSW,4.0,2.2
Honda,2017,Civic,2017 Honda Civic VTI,USED,Automatic,Front,Unleaded,6.4,182097.0,Grey / Black,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,1.8
Hyundai,2019,I30,2019 Hyundai I30 N Line Premium,USED,Automatic,Front,Unleaded,7.1,32925.0,Black / -,4 cyl,Hatchback,4 Doors, 5 Seats, WA,4.0,1.6
Audi,2022,Q3,2022 Audi Q3 35 Tfsi S Line,DEMO,Automatic,Front,Premium,7.3,5100.0,Grey / Black,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,1.4
Hyundai,2020,Tucson,2020 Hyundai Tucson Active (2WD),USED,Automatic,Front,Unleaded,7.9,54676.0,Silver / Black,4 cyl,SUV,4 Doors, 5 Seats, WA,4.0,2.0
